time	V(To_Dekoder,N002)
2.933068293271795e-003	1.781097e+000
2.933347768388567e-003	1.758453e+000
2.933906718622110e-003	1.711395e+000
2.934325396224837e-003	1.675415e+000
2.934400880214058e-003	1.668823e+000
2.934551848192501e-003	1.655518e+000
2.934698064043114e-003	1.642593e+000
2.934726576810095e-003	1.640060e+000
2.934840627878018e-003	1.629898e+000
2.934862539972272e-003	1.627930e+000
2.934891756097943e-003	1.625320e+000
2.934941567748657e-003	1.620865e+000
2.935000000000000e-003	1.615631e+000
2.935003751935866e-003	1.615280e+000
2.935011255807598e-003	1.614624e+000
2.935146325498773e-003	1.602559e+000
2.935281395189947e-003	1.590589e+000
2.935416464881122e-003	1.578716e+000
2.935551534572296e-003	1.566938e+000
2.935686604263471e-003	1.555256e+000
2.935821673954646e-003	1.543671e+000
2.935956743645820e-003	1.532181e+000
2.936917239227506e-003	1.453018e+000
2.938838230390878e-003	1.304611e+000
2.941016903373755e-003	1.150345e+000
2.943332953151997e-003	1.003021e+000
2.945844800972288e-003	8.596802e-001
2.947678503323194e-003	7.648010e-001
2.948815018712802e-003	7.105713e-001
2.949560204583230e-003	6.770630e-001
2.950246200396753e-003	6.475830e-001
2.950912890279584e-003	6.200256e-001
2.951439573289838e-003	5.991058e-001
2.952092616083470e-003	5.741577e-001
2.952690508422521e-003	5.522461e-001
2.953538272877170e-003	5.226440e-001
2.954462867327656e-003	4.922638e-001
2.955848325583944e-003	4.502563e-001
2.957701972571193e-003	4.003906e-001
2.961163833718598e-003	3.239899e-001
2.967581632023416e-003	2.163849e-001
2.973777907441371e-003	1.428070e-001
2.979362307685717e-003	9.848022e-002
2.985268102738089e-003	6.675720e-002
2.991027725737355e-003	4.563904e-002
2.997000512967305e-003	3.077698e-002
3.002793745155505e-003	2.096558e-002
3.008717753648523e-003	1.417542e-002
3.014525335347604e-003	9.658813e-003
3.020435032356617e-003	6.546021e-003
3.026262087694689e-003	4.440308e-003
3.032159028563615e-003	3.005981e-003
3.037994140474593e-003	2.044678e-003
3.043874325795587e-003	1.373291e-003
3.049701656403878e-003	9.155273e-004
3.055544042631178e-003	6.103516e-004
3.061319521601071e-003	3.967285e-004
3.067053988414214e-003	2.441406e-004
3.078074839541648e-003	7.629395e-005
3.085775030067136e-003	1.588160e-005
3.093475220592623e-003	-3.456583e-005
3.101175411118110e-003	-7.504833e-005
3.108875601643597e-003	-1.055659e-004
3.116575792169085e-003	-1.261186e-004
3.124275982694572e-003	-1.367063e-004
3.131976173220060e-003	-1.373291e-004
3.327858022394348e-003	-4.119873e-004
3.332000000000000e-003	-4.272461e-004
3.332009111724421e-003	-4.425049e-004
3.332027335173264e-003	-4.272461e-004
3.332063782070949e-003	-4.119873e-004
3.332136675866319e-003	-3.356934e-004
3.332238696261337e-003	-1.525879e-004
3.332344606528257e-003	1.678467e-004
3.332459028943036e-003	6.866455e-004
3.332566588409489e-003	1.342773e-003
3.332702538592979e-003	2.471924e-003
3.332909634263358e-003	4.852295e-003
3.333323825604115e-003	1.130676e-002
3.333720298720131e-003	1.951599e-002
3.334110649138342e-003	2.986145e-002
3.334573937631757e-003	4.539490e-002
3.335410791541435e-003	7.926941e-002
3.335834391587895e-003	9.980774e-002
3.336681591680815e-003	1.468353e-001
3.336893949444403e-003	1.594391e-001
3.336992496351745e-003	1.655273e-001
3.337066251701619e-003	1.700745e-001
3.337140320322882e-003	1.746979e-001
3.337274516654816e-003	1.831360e-001
3.337416908721571e-003	1.922150e-001
3.337620639930130e-003	2.054901e-001
3.337853672939954e-003	2.211609e-001
3.338239216039067e-003	2.482758e-001
3.338816928440255e-003	2.913513e-001
3.339505440716948e-003	3.469849e-001
3.340668237989190e-003	4.503479e-001
3.342000000000000e-003	5.775604e-001
3.342133176201081e-003	5.911560e-001
3.342399528603243e-003	6.179810e-001
3.342932233407567e-003	6.703491e-001
3.343547900954915e-003	7.283783e-001
3.344779236049611e-003	8.358002e-001
3.347241906239003e-003	1.023575e+000
3.351677945203507e-003	1.289795e+000
3.359790584334132e-003	1.634415e+000
3.367500289546023e-003	1.839722e+000
3.378076355286626e-003	1.994019e+000
3.388915460441478e-003	2.074677e+000
3.404531582662116e-003	2.124313e+000
3.422281753085500e-003	2.145218e+000
3.449476865176923e-003	2.153687e+000
3.485523124324806e-003	2.156464e+000
3.553828100838434e-003	2.158615e+000
3.749408654298237e-003	2.164246e+000
3.758000000000000e-003	2.164490e+000
3.758089772948261e-003	2.164322e+000
3.758269318844781e-003	2.163696e+000
3.758628410637823e-003	2.161179e+000
3.759005738199928e-003	2.156403e+000
3.759760393324137e-003	2.140137e+000
3.761026151919135e-003	2.101410e+000
3.761559294623434e-003	2.080627e+000
3.761893055269969e-003	2.065506e+000
3.762102367732306e-003	2.055450e+000
3.762211299760711e-003	2.050079e+000
3.762333186440627e-003	2.044006e+000
3.762401817055665e-003	2.040543e+000
3.762436611874085e-003	2.038803e+000
3.762483793066231e-003	2.036407e+000
3.762530069343296e-003	2.034073e+000
3.762579401427942e-003	2.031555e+000
3.762635060720239e-003	2.028717e+000
3.762688973738074e-003	2.025925e+000
3.762761409599268e-003	2.022171e+000
3.762832696644345e-003	2.018402e+000
3.762942444798458e-003	2.012527e+000
3.763043589087596e-003	2.007004e+000
3.763150443548213e-003	2.001053e+000
3.763268223545255e-003	1.994370e+000
3.763406010439413e-003	1.986359e+000
3.763621749149309e-003	1.973389e+000
3.763920950068940e-003	1.954605e+000
3.764356553276442e-003	1.925690e+000
3.764959772700886e-003	1.882645e+000
3.765910256792944e-003	1.810608e+000
3.766099031815884e-003	1.795563e+000
3.766476581861764e-003	1.764099e+000
3.767231681953523e-003	1.699707e+000
3.767345129538534e-003	1.689819e+000
3.767572024708556e-003	1.669693e+000
3.768000000000000e-003	1.631454e+000
3.768004028909624e-003	1.631104e+000
3.768012086728872e-003	1.630371e+000
3.768124896198350e-003	1.620239e+000
3.768253821306325e-003	1.608734e+000
3.768511671522274e-003	1.585999e+000
3.769027371954174e-003	1.541534e+000
3.770058772817972e-003	1.456482e+000
3.772121574545568e-003	1.296890e+000
3.774004128965395e-003	1.163132e+000
3.776273972308085e-003	1.017181e+000
3.778323679445431e-003	8.970490e-001
3.779667847192086e-003	8.251038e-001
3.781287958364158e-003	7.447662e-001
3.782289078048249e-003	6.980438e-001
3.783001301965954e-003	6.665802e-001
3.783754741386896e-003	6.347504e-001
3.784453812757000e-003	6.063843e-001
3.784994466282842e-003	5.853271e-001
3.785644250047938e-003	5.610046e-001
3.786256760283407e-003	5.390320e-001
3.787126180443407e-003	5.093842e-001
3.788097406288246e-003	4.782867e-001
3.789553347496989e-003	4.354401e-001
3.791547633085059e-003	3.838196e-001
3.795342089432523e-003	3.033600e-001
3.801140695700682e-003	2.102051e-001
3.807687899177751e-003	1.361542e-001
3.813620932318021e-003	9.111023e-002
3.819462569636055e-003	6.149292e-002
3.825164312737756e-003	4.183960e-002
3.831037525080357e-003	2.804565e-002
3.836812260370054e-003	1.879883e-002
3.842637783772413e-003	1.248169e-002
3.848347324706416e-003	8.239746e-003
3.854059106535252e-003	5.310059e-003
3.859639780077361e-003	3.326416e-003
3.865134705745140e-003	1.983643e-003
3.870405131067200e-003	1.068115e-003
3.875403177112951e-003	4.577637e-004
3.879113686115352e-003	1.220703e-004
3.883191034755503e-003	-1.525879e-004
3.886869495552103e-003	-3.356934e-004
3.891845830480926e-003	-5.493164e-004
3.897701444799352e-003	-7.324219e-004
3.905209631855342e-003	-8.544922e-004
3.913684647524153e-003	-9.460449e-004
3.924268525899128e-003	-1.037598e-003
3.952876680442516e-003	-1.098633e-003
4.160097772944339e-003	-1.312256e-003
4.165000000000000e-003	-1.312256e-003
4.165010785324707e-003	-1.312256e-003
4.165032355974119e-003	-1.281738e-003
4.165075497272945e-003	-1.251221e-003
4.165151355161194e-003	-1.190186e-003
4.165254353352134e-003	-9.460449e-004
4.165366430922284e-003	-6.103516e-004
4.165463897951595e-003	-1.525879e-004
4.165582880473433e-003	6.103516e-004
4.165714577709053e-003	1.739502e-003
4.165958216430179e-003	4.577637e-003
4.166304247135141e-003	1.000977e-002
4.166687751536494e-003	1.785278e-002
4.167053483158807e-003	2.740479e-002
4.167562315572193e-003	4.431152e-002
4.168389589886211e-003	8.056641e-002
4.170044138514246e-003	1.703796e-001
4.170452795963740e-003	1.962585e-001
4.170651865750299e-003	2.100220e-001
4.170725170385285e-003	2.151794e-001
4.170786997954796e-003	2.195129e-001
4.170849769403580e-003	2.239075e-001
4.170946884941969e-003	2.308044e-001
4.171060674712907e-003	2.388916e-001
4.171257197028700e-003	2.531128e-001
4.171438770696080e-003	2.665405e-001
4.171750072176446e-003	2.902527e-001
4.172166354009640e-003	3.232117e-001
4.172741212981831e-003	3.714600e-001
4.173636677576262e-003	4.505615e-001
4.173846529634566e-003	4.700012e-001
4.174266233751175e-003	5.108032e-001
4.175000000000000e-003	5.841370e-001
4.175073376624882e-003	5.917053e-001
4.175220129874647e-003	6.067200e-001
4.175513636374177e-003	6.362915e-001
4.175897998509339e-003	6.740723e-001
4.176666722779662e-003	7.460938e-001
4.178141579855963e-003	8.732605e-001
4.180801316741709e-003	1.069519e+000
4.186120790513202e-003	1.373352e+000
4.193813729374488e-003	1.678497e+000
4.202259517558617e-003	1.883850e+000
4.212474703779496e-003	2.019592e+000
4.224331566848084e-003	2.097534e+000
4.239753434783461e-003	2.140503e+000
4.259172230392217e-003	2.159363e+000
4.286693773381343e-003	2.166290e+000
4.326951494994014e-003	2.168610e+000
4.399286401411134e-003	2.170532e+000
4.581000000000001e-003	2.175110e+000
4.591000000000001e-003	2.175354e+000
4.591075544077561e-003	2.175262e+000
4.591226632232681e-003	2.174805e+000
4.591528808542921e-003	2.173004e+000
4.591851501759227e-003	2.169525e+000
4.592496888191839e-003	2.157745e+000
4.593536783554605e-003	2.130768e+000
4.593986392621859e-003	2.115845e+000
4.594281820948692e-003	2.104462e+000
4.594471528920432e-003	2.096680e+000
4.594576377065893e-003	2.092224e+000
4.594709194242718e-003	2.086548e+000
4.594769392680548e-003	2.083954e+000
4.594806032698349e-003	2.082367e+000
4.594854217485833e-003	2.080231e+000
4.594900980405419e-003	2.078217e+000
4.594950478939870e-003	2.076019e+000
4.595007185741254e-003	2.073547e+000
4.595061871978744e-003	2.071106e+000
4.595137759532500e-003	2.067657e+000
4.595210838830961e-003	2.064270e+000
4.595314927523050e-003	2.059357e+000
4.595423733327270e-003	2.054077e+000
4.595573719556973e-003	2.046661e+000
4.595711125798085e-003	2.039673e+000
4.595850819826506e-003	2.032349e+000
