time	V(to_dekoder)
1.278111227030112e-003	1.031569e+000
1.278332212077440e-003	1.017379e+000
1.278774182172097e-003	9.913434e-001
1.279658122361411e-003	9.407529e-001
1.280357197911365e-003	9.021634e-001
1.280978104974971e-003	8.692273e-001
1.281578060375696e-003	8.385016e-001
1.282030584296667e-003	8.160933e-001
1.282550511096501e-003	7.912154e-001
1.283158088695696e-003	7.631747e-001
1.283840110136048e-003	7.329925e-001
1.284636565698974e-003	6.994845e-001
1.285680044633474e-003	6.583046e-001
1.287125756726008e-003	6.061161e-001
1.289428660714157e-003	5.338111e-001
1.293613575015772e-003	4.275559e-001
1.299584843206919e-003	3.150195e-001
1.306616827456483e-003	2.240321e-001
1.313045440571691e-003	1.698812e-001
1.319833877960450e-003	1.335283e-001
1.326711820905446e-003	1.101348e-001
1.334482112206188e-003	9.384608e-002
1.342757692784687e-003	8.354348e-002
1.352360614981165e-003	7.688444e-002
1.363200896648662e-003	7.299704e-002
1.376529210607512e-003	7.080159e-002
1.392827461029786e-003	6.974467e-002
1.414692456019174e-003	6.931148e-002
1.444981029676831e-003	6.918491e-002
1.476555168294427e-003	6.917753e-002
1.508129306912022e-003	6.917164e-002
1.539703445529618e-003	6.916726e-002
1.571277584147213e-003	6.916438e-002
1.602851722764809e-003	6.916299e-002
1.634425861382404e-003	6.916310e-002
1.666000000000000e-003	6.916472e-002
1.666026975231084e-003	6.917359e-002
1.666080925693253e-003	6.920897e-002
1.666157713511968e-003	6.930742e-002
1.666240733831966e-003	6.949305e-002
1.666341747823570e-003	6.984022e-002
1.666438114942224e-003	7.031017e-002
1.666554445205287e-003	7.106967e-002
1.666681598268769e-003	7.216894e-002
1.666903190544312e-003	7.476850e-002
1.667266089987670e-003	8.091932e-002
1.667991888874388e-003	9.750651e-002
1.668339511652803e-003	1.074869e-001
1.668587642119544e-003	1.158494e-001
1.668729495389318e-003	1.210284e-001
1.668837351206963e-003	1.251659e-001
1.668904104249672e-003	1.278048e-001
1.668950730858167e-003	1.296851e-001
1.668989482993204e-003	1.312662e-001
1.669034681831094e-003	1.331214e-001
1.669069985211761e-003	1.345755e-001
1.669116784240171e-003	1.365110e-001
1.669176701971172e-003	1.390110e-001
1.669296537433174e-003	1.440898e-001
1.669425702929301e-003	1.497030e-001
1.669590471130849e-003	1.571134e-001
1.669773513188702e-003	1.657242e-001
1.670052301463500e-003	1.796335e-001
1.670437280255823e-003	2.003745e-001
1.670995554358404e-003	2.335932e-001
1.671781380665573e-003	2.864946e-001
1.672928130479854e-003	3.753197e-001
1.674348070577633e-003	5.025588e-001
1.676000000000000e-003	6.667590e-001
1.676165192942237e-003	6.846342e-001
1.676495578826710e-003	7.198162e-001
1.677156350595657e-003	7.874967e-001
1.678477894133551e-003	9.126869e-001
1.681120981209339e-003	1.128040e+000
1.686407155360915e-003	1.462915e+000
1.694018313169916e-003	1.798717e+000
1.702364941946264e-003	2.025428e+000
1.712458707028127e-003	2.176211e+000
1.724164455569042e-003	2.263329e+000
1.739354269496336e-003	2.311516e+000
1.758421096521431e-003	2.332644e+000
1.785314189220469e-003	2.340048e+000
1.824378747865931e-003	2.341775e+000
1.893688378293164e-003	2.342180e+000
2.082919366705650e-003	2.343041e+000
2.092000000000000e-003	2.343082e+000
2.092373429451979e-003	2.340311e+000
2.093120288355938e-003	2.328841e+000
2.094614006163854e-003	2.287865e+000
2.095640631660311e-003	2.246287e+000
2.096374883833087e-003	2.208107e+000
2.096833936956685e-003	2.180850e+000
2.097174645382174e-003	2.158998e+000
2.097399342210517e-003	2.143913e+000
2.097570263927986e-003	2.132096e+000
2.097739713764573e-003	2.120173e+000
2.097898480948834e-003	2.108898e+000
2.097958906764097e-003	2.104580e+000
2.098032961436188e-003	2.099260e+000
2.098090325884857e-003	2.095114e+000
2.098155678060420e-003	2.090359e+000
2.098228763751823e-003	2.084999e+000
